                                                        i care more about the food and ambience,ambience,1,2
                                                      the bill is approximately for 2 at lunch without drinks,price,1,0
                                              like saying her bread comes from a special bakery when we have seen her buying it downtown manhattan,food,0,0
                                                       i am bringing my whole family back next time,misc,2,2
                                                        and they give good quantity for the price,food,2,2
                                                             it just thai,misc,0,0
                                                         taking hot dogs to the next level,food,2,2
                                                     my boyfriend and i went here last night and loved it,misc,2,2
                                         tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price,price,2,2
                                                  i know why anyone would want to write a great review about this place,restaurant,0,2
                                          also waiters try to push more food on you like suggest things as if they are complimentary when they actually cost $,service,0,2
                                                      we went to this restaurant based on prior internet comments,misc,1,0
                                         i usually visit the same establishment more than once what more twice but come to anytime for a quiet unhurried and memorable dinner,ambience,2,2
                                         all the various greek and cypriot dishes are excellent but the gyro is the reason to you eat one your trip was wasted,food,2,2
                                                           too bad latin quarters closed,misc,1,0
                                                    even though the place is not beautiful the food speaks for itself,ambience,0,0
                                                 everything is scrumptious from the excellent service by cute waitresses to the extremely lush atmosphere,ambience,2,2
                                                    the staff was very attentive the ambience lovely and the food superb,food,2,2
                                                       the folding chair i was seated at was uncomfortable,ambience,0,0
                                                    try the mediterranean salad it is a true experience for your taste,food,2,2
                                                   i am so happy to have a wonderful italian restaurant in my neighborhood,restaurant,2,2
                                                              kudos haru,misc,2,0
                                                       stuffing yourself with japanese food is a rare thing,food,1,2
                                                      personal pans are the perfect size for those hungry nights,food,2,2
                                                            disappointing food lousy service,food,0,0
                                       although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat,service,2,2
                                                      the food was good the place was clean and affordable,ambience,2,2
                                                      go to volare for 1st class service and terrific food,service,2,2
                                                         we loved it and will go back,misc,2,2
                                                           the difference between the two,misc,1,1
                                                        be sure not to get anything other than,food,1,1
                                                      i have been to many times and i like it,misc,2,2
                                                the pizza and wine were service what really made this place was the backyard dining area,food,2,2
                                                      by or is by far the best bagel in ny,food,2,2
                                        yeah shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out,misc,1,1
                                                  service was devine oysters where a sensual as they come and the price be,food,2,2
                                                    the food was terrific and the service classy attentive without being overbearing,service,2,2
                                                        ask for usha the nicest bartender in manhattan,service,2,2
                                                 the servers give you some sample slices of your order while you wait i might,service,2,0
                      and how many times can you pick up the same perfectly aligned set of napkins inspect them and plonk them down in exactly the same place instead of venturing a glance at people who are there to help you make the rent,service,0,0
                                                     they give us the dinner special until we asked for it,service,0,0
                                                 overall the restaurant is more expensive than our other sushi favorites but everything was delicious,food,2,1
                                                       we had a most unpleasant experience at this restaurant,misc,0,0
                                                           great wine list reasonably priced,food,2,2
                                                      the food really very good and the service is terrible,service,0,0
                                                  my only negative comment is that i wish the pieces were a little bigger,food,0,1
                                                           excellent food for great prices,food,2,2
                                                good atmosphere combination of all the hottest music dress code is relatively strict except on fridays,ambience,2,2
                                                      chennai garden is my favorite indian restaurant in the city,misc,2,2
                                                the food is fantastic and the waiting staff has been perfect every single time been there,service,2,2
                                                              never again,misc,0,0
                                                          you find that anywhere in manhattan,misc,2,2
                                                  although be warned their dinner menu to sit and take out prices are different,price,1,2
                                                also because it is so thin it gets cold very quickly and its not that filling,food,0,2
                                                     great food good size menu great service and an unpretentious setting,food,2,2
                                                      a little crowded but they move that line really fast,service,2,0
                                                               ,restaurant,2,2
                                                         i recommend their godmother pizza any higher,food,2,2
                                                         i have never had cheesecake like this,food,2,2
                                                         i am never disappointed with there food,food,2,0
                                              however go for the ambience and consider the food just a companion for a trip across the world,food,0,2
                                                     too bad i had paid an extra for the stone bowl,food,0,0
                        the sushi has been from average to below average the wait service has always been sub-par the atmosphere goes from nice to really irritating you sit in the area beyond the kitchen the acoustics are horrid everything echoes is extremely,ambience,1,0
                                       the portions are now very small the sauces are usually inedible while the service is still good the restaurant due to its popularity seems frantic,food,0,2
                                                    it has been my first choice ever since i discovered it ,misc,2,2
                                               however i think and hydes t is one of those places that is fun to do once,misc,2,2
                                                       sushi so fresh that it crunches in your mouth,food,2,2
                                                             polite acknowledgment is,service,0,0
                                     if i want to stand in line on sunday for an hour to get average brunch food then i would put at the top of the list,service,0,0
                                                          waited over one hour for food,service,0,0
                                                         best dining experience in the west village,restaurant,2,2
                                                my fiance and i recently wanted to see the city and to take a dinner cruise,misc,1,2
                                     we ordered a selection of the small plates and the shoe string onions goat cheese pizza grilled asparagus and fried brie with fruit were all very good,food,2,2
                    when my dessert came there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift and said he knew it was a special occasion of some sort,service,2,2
                                                            highly recommended to all,misc,2,2
                                                         oh and the cheese fries are awesome,food,2,2
                                                             what a find,restaurant,2,2
                                                           great wine list reasonably priced,price,2,2
                                                    just bring someone who speaks cantonese because waiter may not understand you,service,0,0
                                      highly as stated i dined the restaurant but stopped by there to pick up takeout and it seems a very relaxing also the bar looks nice,misc,2,2
                                                  also there was only one bathroom stall probably need more for such big crowds,restaurant,0,0
                                                           our food was great too,food,2,2
                                               highly impressed from the decor to the food to the hospitality to the great night i had,food,2,2
                                               the service was excellent the coffee was good even by starbucks standards and the food was outstanding,drinks,2,2
                                                            amma is nothing special,misc,0,1
                                         the wine selection the glass and is wonderful and i always recommend that friends make a reservation if going to be in town,food,2,2
                                               the place is clean and if you like soul food then this is the place to be,food,2,2
                                                      while the food was excellent it cheap not extremely expensive,food,2,1
                                                       the octopus eaters were floored by the octopus salad,food,2,2
                                                           everything was food drinks staff,drinks,2,2
                                                     where gabriela personally greets you and recommends you what to eat,service,2,0
                                          the waitstaff is solicitous and friendly and always seems glad to see us and the food is wonderful if not stunningly creative,food,2,2
                                                 had 1 appetizer 2 entrees and 2 cokes and the bill was not including tip,price,1,1
                                         a word to the wise - the hoboken health inspector clued me to his findings that this is the cleanest restaurant in town,ambience,2,2
                                                 my goodness everything from the fish to the rice to the seaweed was absolutely amazing,food,2,2
